rodzaj;kod pocztowy;miasto;ulica;Lat;Long
PRO;81-454;GDYNIA;NOCZNICKIEGO 8A;54.497984;18.544899
PRO;80-172;GDA—SK;SCHUBERTA 104;54.353124;18.593307
POZ;14-240;JAWTY WIELKIE;- 2;53.694934;19.243219
STM;14-220;KISIELICE;SPORTOWA 1;53.607635;19.255028
ZPO;14-220;KISIELICE;JAGIELLO—SKA 7;53.607901;19.258514
POZ;14-220;KISIELICE;ALEJA WOJSKA POLSKIEGO 2;53.608222;19.26028
STM;14-220;KISIELICE;AL. WOJSKA POLSKIEGO 2;53.608222;19.26028
POZ;14-220;KISIELICE;DASZY—SKIEGO 2C;53.609738;19.261064
ZPO;14-220;KISIELICE;SIENKIEWICZA 34;53.609672;19.262677
AOS;14-220;KISIELICE;SIENKIEWICZA 18;53.608139;19.264994
POZ;14-220;KISIELICE;SIENKIEWICZA 18;53.608139;19.264994
REH;14-220;KISIELICE;SIENKIEWICZA 18;53.608139;19.264994
STM;14-220;KISIELICE;SIENKIEWICZA 18;53.608139;19.264994
POZ;82-335;JEG£OWNIK;MALBORSKA 43;54.120157;19.289296
POZ;82-335;JEG£OWNIK;GRONOWSKA 6;54.118086;19.302323
POZ;82-335;GRONOWO;OSIEDLOWA 6A;54.086586;19.302706
POZ;82-335;GRONOWO;ELBL•SKA 4;54.086521;19.305854
POZ;82-335;GRONOWO;ELBL•SKA 11A;54.089529;19.308778
STM;82-335;GRONOWO ELBL•SKIE;ELBL•SKA 11 - A;54.089622;19.309013
ZPO;82-335;GRONOWO;ELBL•SKA 11/A;54.089622;19.309013
REH;14-240;SUSZ;WILLOWA 7;53.714172;19.332341
RTM;14-240;SUSZ;POLNA 1;53.719924;19.334141
ZPO;14-240;SUSZ;PLAØOWA 2;53.713244;19.335621
POZ;14-240;SUSZ;PIASTOWSKA 5;53.715143;19.335693
POZ;14-240;SUSZ;PIASTOWSKA 5C;53.715143;19.335693
ZPO;14-240;SUSZ;S£OWIA—SKA 21/3;53.717397;19.336244
AOS;14-240;SUSZ;WYBICKIEGO 9;53.713686;19.336673
POZ;14-240;SUSZ;WYBICKIEGO 9;53.713686;19.336673
STM;14-240;SUSZ;WYBICKIEGO 9;53.713686;19.336673
ZPO;14-240;SUSZ;WYBICKIEGO 9;53.713686;19.336673
POZ;14-240;SUSZ;WIEJSKA 1;53.720743;19.337101
POZ;14-240;LUBNOWY WIELKIE;2;53.784823;19.337544
POZ;82-325;ZWIERZNO;28;54.036234;19.338669
STM;82-310;NOWAKOWO;48;54.225334;19.348129
POZ;82-310;NOWAKOWO;47;54.224989;19.348476
RTM;13-340;BISKUPIEC POMORSKI;RYNEK 8;53.526143;19.350671
AOS;13-340;BISKUPIEC;LIPOWA 7;53.501314;19.351094
POZ;13-340;BISKUPIEC;LIPOWA 7;53.501314;19.351094
REH;13-340;BISKUPIEC;LIPOWA 7;53.501314;19.351094
STM;13-340;BISKUPIEC;LIPOWA 7;53.501314;19.351094
ZPO;13-340;BISKUPIEC POMORSKI;RYNEK 17;53.500058;19.351125
ZPO;13-340;BISKUPIEC;RYNEK 1;53.500899;19.351205
POZ;13-334;£•KORZ;X 87;53.44253;19.351769
POZ;14-240;BABI TY MA£E;- 1;53.672003;19.372345
POZ;14-240;KAMIENIEC;- 46;53.77202;19.37969
POZ;82-325;MARKUSY;70/1;54.04803;19.38468
POZ;82-325;MARKUSY;GMINA MARKUSY 70/3;54.047902;19.386843
STM;82-325;MARKUSY;MARKUSY 70;54.047902;19.386843
POZ;82-300;ELBL•G;SZA—COWA 2;54.159204;19.387778
POZ;82-300;ELBL•G;MAZURSKA 5;54.182549;19.389383
POZ;82-300;ELBL•G;WARSZAWSKA 54/62;54.154599;19.390704
AOS;82-300;ELBL•G;STUDZIENNA 35-36/A;54.159955;19.393381
STM;82-300;ELBL•G;STUDZIENNA 21-22A;54.159957;19.393399
POZ;82-300;ELBL•G;OBRO—C”W POKOJU 6;54.180572;19.393862
AOS;82-300;ELBL•G;WIEJSKA 18;54.186711;19.394563
POZ;82-300;ELBL•G;WIEJSKA 18;54.186711;19.394563
ZPO;82-300;ELBL•G;STARY RYNEK 48A;54.159181;19.395931
POZ;82-300;ELBL•G;RODZINY NALAZKOW 20;54.188713;19.396063
STM;82-300;ELBL•G;RODZINY NALAZK”W 20;54.188713;19.396063
AOS;82-300;ELBL•G;SUKIENNICZA 21;54.16085;19.396136
REH;82-300;ELBL•G;PRZY BRAMIE TARGOWEJ 10;54.161174;19.396877
AOS;82-300;ELBL•G;KR”LEWIECKA 2;54.162841;19.397279
REH;82-300;ELBL•G;KR”LEWIECKA 2;54.162841;19.397279
REH;82-300;ELBL•G;BRZESKA 33;54.177367;19.397937
POZ;82-300;ELBL•G;RYCERSKA 2;54.160011;19.398547
POZ;82-300;ELBL•G;PODG”RNA 12;54.184282;19.398626
ZPO;82-300;ELBL•G;AL. ODRODZENIA 10/2;54.186805;19.39926
POZ;82-300;ELBL•G;BROWARNA 1;54.167044;19.399379
STM;82-300;ELBL•G;ROBOTNICZA 175/1;54.179629;19.399544
POZ;82-300;ELBL•G;ROBOTNICZA 173;54.178973;19.399746
STM;82-300;ELBL•G;ROBOTNICZA 173;54.178973;19.399746
POZ;82-300;ELBL•G;DASZY—SKIEGO 1;54.174196;19.399841
AOS;82-300;ELBL•G;KR”LEWIECKA 15;54.163118;19.400078
REH;82-300;ELBL•G;KR”LEWIECKA 15;54.163118;19.400078
ZPO;82-300;ELBL•G;KR”LEWIECKA 15;54.163118;19.400078
STM;82-300;ELBL•G;ROBOTNICZA 97;54.16904;19.40106
AOS;82-300;ELBL•G;ROBOTNICZA 79;54.171103;19.401504
POZ;82-300;ELBL•G;ROBOTNICZA 79;54.171103;19.401504
STM;82-300;ELBL•G;ROBOTNICZA 79;54.171103;19.401504
POZ;82-300;ELBL•G;GODLEWSKIEGO 1;54.15877;19.401584
AOS;82-300;ELBL•G;MALBORSKA 39/1;54.154228;19.401609
ZPO;82-300;ELBL•G;TEATRALNA 5;54.166047;19.401735
AOS;82-300;ELBL•G;ROBOTNICZA 118-120;54.171253;19.402463
POZ;82-300;ELBL•G;W GROWSKA 1;54.184604;19.402723
